ID,Name,Units sold,Price (EUR),Channel,Supplier
54321,Designed to enhance breathing and provide reliable support for respiratory health,60,189.99,Online Store,Merck
54321,Designed to enhance breathing and provide reliable support for respiratory health,40,209.99,Chain Store,Merck
23456,A groundbreaking headset for heightened neurological capabilities and cognitive enhancement.,80,129.99,Retail Store,Bayer
23456,A groundbreaking headset for heightened neurological capabilities and cognitive enhancement.,90,129.99,Online Store,Pfizer
23456,A groundbreaking headset for heightened neurological capabilities and cognitive enhancement.,100,129.99,Chain Store,Merck
23456,A groundbreaking headset for heightened neurological capabilities and cognitive enhancement.,110,139.99,Retail Store,Pfizer
23456,A groundbreaking headset for heightened neurological capabilities and cognitive enhancement.,120,149.99,Online Store,Merck
23456,A groundbreaking headset for heightened neurological capabilities and cognitive enhancement.,130,159.99,Chain Store,Bayer
87654,Transform blood pressure monitoring with real-time insights into cardiovascular health.,200,89.99,Online Store,Pfizer
87654,Transform blood pressure monitoring with real-time insights into cardiovascular health.,180,89.99,Retail Store,Merck
87654,Transform blood pressure monitoring with real-time insights into cardiovascular health.,160,89.99,Chain Store,Bayer
87654,Transform blood pressure monitoring with real-time insights into cardiovascular health.,140,99.99,Online Store,Bayer
87654,Transform blood pressure monitoring with real-time insights into cardiovascular health.,120,109.99,Retail Store,Pfizer
87654,Transform blood pressure monitoring with real-time insights into cardiovascular health.,100,119.99,Chain Store,Merck
21098,Revolutionize diabetes management with continuous glucose monitoring for proactive control.,120,169.99,Chain Store,Merck
21098,Revolutionize diabetes management with continuous glucose monitoring for proactive control.,110,169.99,Retail Store,Bayer
21098,Revolutionize diabetes management with continuous glucose monitoring for proactive control.,100,169.99,Online Store,Pfizer
21098,Revolutionize diabetes management with continuous glucose monitoring for proactive control.,90,179.99,Online Store,Bayer
21098,Revolutionize diabetes management with continuous glucose monitoring for proactive control.,80,189.99,Chain Store,Pfizer
21098,Revolutionize diabetes management with continuous glucose monitoring for proactive control.,70,199.99,Retail Store,Pfizer
54321,Advanced vision correction for a transformative visual experience.,85,129.99,Online Store,Pfizer
54321,Advanced vision correction for a transformative visual experience.,75,129.99,Chain Store,Merck
54321,Advanced vision correction for a transformative visual experience.,65,129.99,Retail Store,Bayer
54321,Advanced vision correction for a transformative visual experience.,55,139.99,Online Store,Bayer
54321,Advanced vision correction for a transformative visual experience.,45,149.99,Chain Store,Pfizer
54321,Advanced vision correction for a transformative visual experience.,35,159.99,Online Store,Pfizer
87654,"Provides targeted orthopedic support for body alignment and stability, promoting comfort and mobility.",90,69.99,Retail Store,Bayer
87654,"Provides targeted orthopedic support for body alignment and stability, promoting comfort and mobility.",80,69.99,Online Store,Pfizer
87654,"Provides targeted orthopedic support for body alignment and stability, promoting comfort and mobility.",70,69.99,Chain Store,Merck
87654,"Provides targeted orthopedic support for body alignment and stability, promoting comfort and mobility.",60,79.99,Online Store,Merck
87654,"Provides targeted orthopedic support for body alignment and stability, promoting comfort and mobility.",50,89.99,Chain Store,Bayer
87654,"Provides targeted orthopedic support for body alignment and stability, promoting comfort and mobility.",40,99.99,Retail Store,Pfizer
21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",110,119.99,Retail Store,Merck
21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",120,119.99,Online Store,Pfizer
21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",130,119.99,Chain Store,Bayer
21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",140,129.99,Retail Store,Pfizer
21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",150,139.99,Online Store,Merck
21098,"Unleash cognitive potential with innovative technology for a sharper, more focused mind.",160,149.99,Chain Store,Bayer
54321,"Accelerate rehabilitation with personalized assistance, helping rediscover mobility and strength.",70,79.99,Online Store,Pfizer
54321,"Accelerate rehabilitation with personalized assistance, helping rediscover mobility and strength.",80,79.99,Retail Store,Merck
54321,"Accelerate rehabilitation with personalized assistance, helping rediscover mobility and strength.",90,79.99,Chain Store,Bayer
54321,"Accelerate rehabilitation with personalized assistance, helping rediscover mobility and strength.",100,89.99,Online Store,Bayer
54321,"Accelerate rehabilitation with personalized assistance, helping rediscover mobility and strength.",110,99.99,Chain Store,Merck
54321,"Accelerate rehabilitation with personalized assistance, helping rediscover mobility and strength.",120,109.99,Retail Store,Pfizer
